id_usuario,canal,n_contas,conta_manual,cartao_cred,invest,acessos,horas_logado,horas_logado_BB,buscou_emprestimo,usou_antifraude,pergunt_freq,inativo_1m
1001,android,3,sim,sim,nao,0,40.23,0,nao,nao,nao,1
1002,android,3,sim,sim,nao,0,3.21,16.79,nao,nao,nao,0
1003,android,2,nao,sim,nao,0,9.95,10.05,nao,nao,nao,0
1004,android,7,nao,sim,nao,0,12.36,7.64,nao,nao,nao,0
1005,android,3,nao,sim,nao,1,2.74,17.26,nao,nao,sim,0
1006,android,3,sim,sim,nao,1,3.29,16.71,nao,sim,nao,0
1007,ios,1,nao,nao,nao,1,3.37,16.63,nao,sim,nao,0
1008,android,9,sim,sim,nao,0,5.35,14.65,nao,nao,nao,1
1009,ios,5,nao,sim,nao,1,9.83,10.17,nao,nao,nao,0
1010,android,2,nao,sim,nao,2,8.08,11.92,sim,sim,nao,0
1011,android,2,nao,sim,nao,1,6.8,13.2,sim,nao,nao,0
1012,ios,1,nao,nao,nao,2,0.65,19.35,nao,sim,nao,0
1013,ios,1,nao,nao,nao,2,1.54,18.46,nao,nao,nao,1
1014,android,4,sim,nao,nao,0,3.48,16.52,nao,nao,nao,1
1015,android,3,sim,sim,nao,1,4,16,nao,sim,nao,1
1016,ios,5,nao,sim,nao,1,9.78,10.22,nao,sim,nao,1
1017,ios,2,sim,nao,nao,3,1.35,18.65,sim,nao,nao,0
1018,android,6,sim,nao,nao,0,1.84,18.16,nao,nao,nao,1
1019,android,5,nao,sim,nao,1,2.79,17.21,nao,sim,nao,1
1020,ios,4,nao,nao,nao,1,0.66,19.34,nao,sim,nao,0
1021,ios,2,nao,nao,nao,0,2.61,17.39,nao,nao,nao,0
1022,android,3,sim,sim,nao,1,5.24,14.76,nao,nao,nao,0
1023,android,1,nao,nao,nao,0,2.48,17.52,nao,nao,nao,1
1024,android,8,nao,sim,nao,0,2.06,17.94,nao,nao,nao,1
1025,android,1,nao,nao,nao,1,0.55,19.45,nao,nao,sim,0
1026,ios,2,nao,sim,nao,1,1.6,18.4,nao,nao,nao,0
1027,ios,2,nao,sim,nao,2,9.16,10.84,sim,sim,nao,0
1028,android,2,nao,sim,nao,4,8.62,11.38,nao,nao,nao,0
1029,android,2,sim,nao,nao,3,1.92,18.08,nao,nao,nao,1
1030,android,4,nao,nao,nao,7,1.06,18.94,nao,nao,nao,0
1031,ios,2,nao,nao,sim,1,1.29,18.71,nao,nao,nao,1
1032,android,3,sim,sim,nao,0,12.97,7.03,nao,nao,nao,0
1033,android,2,nao,sim,nao,0,7.77,12.23,nao,nao,nao,0
1034,ios,2,nao,sim,nao,2,9.88,10.12,nao,sim,nao,0
1035,ios,2,nao,nao,sim,2,0.9,19.1,sim,nao,nao,1
1036,android,4,nao,sim,nao,0,4.46,15.54,nao,nao,nao,1
1037,ios,1,nao,nao,nao,0,0.34,19.66,nao,nao,nao,1
1038,ios,4,nao,sim,sim,0,5.31,14.69,nao,nao,nao,0
1039,android,2,sim,nao,nao,1,2.43,17.57,nao,sim,nao,1
1040,android,3,nao,sim,nao,1,1.7,18.3,sim,nao,nao,1
1041,android,2,nao,sim,nao,0,15.35,4.65,nao,nao,nao,0
1042,android,7,nao,nao,nao,0,2.03,17.97,nao,nao,nao,1
1043,android,2,nao,sim,nao,1,9.05,10.95,nao,nao,sim,0
1044,ios,4,sim,sim,nao,1,11.2,8.8,nao,nao,nao,0
1045,android,7,sim,sim,nao,1,6.97,13.03,nao,sim,nao,0
1046,android,6,nao,sim,sim,1,4.09,15.91,nao,nao,nao,1
1047,android,2,nao,sim,nao,1,4.66,15.34,nao,sim,nao,0
1048,android,3,sim,sim,nao,1,9.72,10.28,nao,sim,nao,0
1049,android,6,sim,nao,nao,0,0.29,19.71,nao,nao,nao,1
1050,android,1,nao,nao,nao,0,2.28,17.72,nao,nao,nao,0
1051,ios,2,nao,nao,nao,0,5.27,14.73,nao,nao,nao,1
1052,ios,1,nao,nao,nao,1,2.66,17.34,nao,sim,nao,0
1053,android,1,nao,nao,nao,1,3.64,16.36,nao,nao,nao,1
1054,android,5,sim,sim,nao,20,7.22,12.78,nao,nao,nao,0
1055,android,2,nao,nao,nao,4,2.76,17.24,nao,sim,nao,1
1056,android,5,sim,sim,nao,2,7.34,12.66,nao,nao,nao,0
1057,android,2,sim,nao,nao,0,4.8,15.2,nao,nao,nao,0
1058,android,4,nao,nao,nao,1,3.35,16.65,nao,sim,nao,0
1059,android,4,nao,sim,nao,5,6.84,13.16,nao,nao,nao,0
1060,android,4,nao,sim,nao,3,7.72,12.28,sim,nao,sim,0
1061,android,4,sim,nao,nao,2,2.49,17.51,nao,nao,nao,1
1062,ios,2,nao,nao,sim,3,1.41,18.59,sim,nao,nao,0
1063,ios,3,sim,sim,nao,1,10.46,9.54,nao,nao,sim,0
1064,android,1,nao,nao,nao,0,2.25,17.75,nao,nao,nao,1
1065,android,3,sim,sim,nao,0,5.16,14.84,nao,nao,nao,0
1066,android,3,nao,sim,nao,1,0.88,19.12,nao,nao,nao,1
1067,ios,5,nao,sim,nao,1,6.94,13.06,nao,sim,nao,0
1068,android,5,sim,sim,sim,1,9.18,10.82,nao,sim,nao,0
1069,android,4,sim,sim,nao,0,9.51,10.49,nao,nao,nao,0
1070,android,3,nao,sim,sim,1,9.75,10.25,nao,sim,nao,0
1071,android,2,nao,sim,nao,0,2.2,17.8,nao,nao,nao,1
1072,android,5,sim,sim,nao,1,6.34,13.66,sim,nao,nao,0
1073,android,2,sim,nao,nao,1,0.94,19.06,nao,sim,nao,0
1074,ios,1,nao,nao,nao,1,4.68,15.32,nao,sim,nao,0
1075,android,2,nao,sim,nao,6,1.38,18.62,nao,nao,nao,0
1076,android,2,nao,sim,nao,13,6.24,13.76,sim,nao,nao,0
1077,ios,3,sim,nao,sim,0,0.88,19.12,nao,nao,nao,0
1078,android,8,sim,nao,sim,2,1.37,18.63,nao,sim,nao,1
1079,ios,2,nao,sim,nao,7,7.94,12.06,nao,sim,nao,0
1080,android,6,nao,sim,nao,1,8.88,11.12,nao,sim,nao,0
1081,android,2,nao,nao,nao,2,5.04,14.96,nao,nao,nao,1
1082,android,2,nao,sim,nao,0,4.72,15.28,nao,nao,nao,1
1083,ios,2,nao,nao,nao,0,0.49,19.51,nao,nao,nao,1
1084,android,5,nao,nao,nao,0,3.44,16.56,nao,nao,nao,1
1085,ios,3,sim,sim,nao,1,9.58,10.42,nao,nao,sim,0
1086,ios,3,sim,nao,nao,2,7.29,12.71,nao,nao,nao,0
1087,ios,2,nao,sim,nao,1,5.89,14.11,nao,sim,nao,1
1088,ios,1,nao,nao,nao,2,2.07,17.93,sim,sim,nao,1
1089,android,2,sim,nao,nao,0,3.88,16.12,nao,nao,nao,1
1090,android,1,nao,nao,nao,0,5.31,14.69,nao,nao,nao,1
1091,ios,2,sim,nao,nao,1,5.85,14.15,nao,nao,nao,1
1092,android,3,nao,sim,nao,1,1.81,18.19,nao,sim,nao,1
1093,ios,5,sim,sim,nao,1,5.31,14.69,nao,nao,sim,1
1094,ios,1,nao,nao,nao,0,0.73,19.27,nao,nao,nao,0
1095,android,1,nao,nao,nao,5,2.9,17.1,nao,nao,nao,1
1096,ios,1,nao,nao,nao,1,1.48,18.52,nao,sim,nao,1
1097,ios,5,sim,sim,sim,0,13.69,6.31,nao,nao,nao,0
1098,android,3,sim,sim,nao,0,3,17,nao,nao,nao,0
1099,ios,4,nao,nao,nao,0,3,17,nao,nao,nao,1
